,Mes,REGION_DE_ORIGEN,SUBPARTIDA,CIIU Rev. 4 A.C (2021),Descripción Arancelaria,PESO_NETO_KGS,VALOR_FOB_USD,División,Grupo,Clase,Descripción
43,2022-01-01,ATLANTICO,1211909000,128.0,"Las demás plantas y partes de plantas, semillas y frutos de las especies utilizadas principalmente en perfumería, en medicina o como insecticidas, parasiticidas o similares, frescos o secos, incluso cortados, quebrantados o pulverizados",125.58,631.15,,,128.0,Cultivo de especias y de plantas aromáticas y medicinales 
44,2022-01-01,ATLANTICO,1213000000,119.0,"Paja y cascabillo de cereales, en bruto, incluso picados, molidos, prensados o en ""pellets""",51790.0,6473.75,,,119.0,Otros cultivos transitorios n.c.p.
45,2022-01-01,ATLANTICO,1507909000,1032.0,"Los demás aceites de soja (soya) y sus fracciones, incluso refinados, pero sin modificar químicamente",98653.0,144909.35,,,,
46,2022-01-01,ATLANTICO,1511100000,1031.0,Aceite de palma en bruto,3145983.0,4097119.1499999994,,,,
47,2022-01-01,ATLANTICO,1511900000,1032.0,"Los demás aceites de palma y sus fracciones, incluso refinados, pero sin modificar químicamente",1053392.8,1689346.13,,,,
48,2022-01-01,ATLANTICO,1513211000,1031.0,"Aceites de almendra de palma (palmiste) y sus fracciones, en bruto",1044307.0,2027288.6,,,,
49,2022-01-01,ATLANTICO,1516100000,1033.0,"Grasas y aceites, animales y sus fracciones, parcial o totalmente hidrogenados, interesterificados, reesterificados o elaidinizados, incluso refinados, pero sin preparar de otro modo",133682.0,1368157.95,,,,
50,2022-01-01,ATLANTICO,1517100000,1032.0,"Margarina, excepto la margarina líquida",172800.0,12960.0,,,,
51,2022-01-01,ATLANTICO,1517900000,1032.0,"Mezclas o preparaciones alimenticias de grasas o aceites, animales o vegetales o de fracciones de diferentes grasas o aceites, de este capítulo, excepto las grasas y aceites alimenticios, y sus fracciones, de la partida 15.16",1217198.52,2185068.88,,,,
52,2022-01-01,ATLANTICO,1518009000,2029.0,"Las demás grasas y aceites, animales o vegetales, y sus fracciones de la partida 15.18 y sus mezclas no expresados ni comprendidos en otras partidas",236500.0,292963.42,,,2029.0,Fabricación de otros productos químicos n.c.p.
53,2022-01-01,ATLANTICO,1601000000,1011.0,"Embutidos y productos similares, de carne, de despojos, sangre o de insectos; preparaciones alimenticias a base de estos productos",3250.0,7410.0,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
54,2022-01-01,ATLANTICO,1604141000,1012.0,"Preparaciones y conservas de atunes, enteros o en trozos, excepto picados",71392.5,441550.64,,,1012.0,"Procesamiento y conservación de pescados, crustáceos y moluscos"
55,2022-01-01,ATLANTICO,1604142000,1012.0,"Preparaciones y conservas de listados y bonitos, enteros o en trozos, excepto picados",76950.0,504251.53,,,1012.0,"Procesamiento y conservación de pescados, crustáceos y moluscos"
56,2022-01-01,ATLANTICO,1604200000,1012.0,Las demás preparaciones y conservas de pescado,34597.5,121057.22,,,1012.0,"Procesamiento y conservación de pescados, crustáceos y moluscos"
57,2022-01-01,ATLANTICO,1605400000,1012.0,"Los demás crustáceos, preparados o conservados",10434.0,310554.0,,,1012.0,"Procesamiento y conservación de pescados, crustáceos y moluscos"
58,2022-01-01,ATLANTICO,1701910000,1071.0,"Los demás azúcares de caña o de remolacha y sacarosa químicamente pura, en estado sólido, con adición de aromatizante o colorante",500.0,350.0,,,1071.0,Elaboración y refinación de azúcar
59,2022-01-01,ATLANTICO,1701999000,1071.0,"Los demás azúcares de caña o de remolacha y sacarosa químicamente pura, en estado sólido",990.0,614.8,,,1071.0,Elaboración y refinación de azúcar
60,2022-01-01,ATLANTICO,1704101000,1082.0,"Chicles y demás gomas de mascar, recubiertos de azúcar",152.45,1401.6,,,1082.0,"Elaboración de cacao, chocolate y productos de confitería"
61,2022-01-01,ATLANTICO,1704901000,1082.0,"Bombones, caramelos, confites y pastillas",21631.51,6648.44,,,1082.0,"Elaboración de cacao, chocolate y productos de confitería"
62,2022-01-01,ATLANTICO,1704909000,1082.0,Los demás artículos de confitería sin cacao (incluido el chocolate blanco),54747.45,603311.46,,,1082.0,"Elaboración de cacao, chocolate y productos de confitería"
63,2022-01-01,ATLANTICO,1806100000,1082.0,Cacao en polvo con adición de azúcar u otro edulcorante,295.65,6627.2,,,1082.0,"Elaboración de cacao, chocolate y productos de confitería"
64,2022-01-01,ATLANTICO,1901909000,1089.0,Las demás preparaciones alimenticias de la partida 19.01 no expresadas ni comprendidas en otras partidas,366.0,910.0,,,1089.0,Elaboración de otros productos alimenticios n.c.p.
65,2022-01-01,ATLANTICO,1905310000,1081.0,Galletas dulces (con adición de edulcorante),4113.67,50064.99,,,1081.0,Elaboración de productos de panadería
66,2022-01-01,ATLANTICO,1905320000,1081.0,"Barquillos y obleas, incluso rellenos (""gaufrettes"", ""wafers"" ) y ""waffles"" (""gaufres"")",3476.67,5247.34,,,1081.0,Elaboración de productos de panadería
67,2022-01-01,ATLANTICO,1905901000,1081.0,Galletas saladas o aromatizadas incluso con adición de cacao,39912.92,40176.0,,,1081.0,Elaboración de productos de panadería
68,2022-01-01,ATLANTICO,1905909000,1081.0,"Los demás productos de panadería pastelería o galletería incluso con cacao. Hostias, sellos vacíos del tipo de los usados para medicamentos, obleas para sellar, pastas secas de harina, almidón o fécula, en hojas y productos similares",750.0,4658.0,,,1081.0,Elaboración de productos de panadería
69,2022-01-01,ATLANTICO,2001909000,1020.0,"Las demás hortalizas, frutas y demás partes comestibles de plantas, preparadas o conservadas en vinagre o en ácido acético",57.0,297.82,,102.0,1020.0,"Procesamiento y conservación de frutas, legumbres, hortalizas y tubérculos"
70,2022-01-01,ATLANTICO,2002900000,1020.0,Los demás tomates preparados o conservados (excepto en vinagre o en ácido acético),9015.52,16887.29,,102.0,1020.0,"Procesamiento y conservación de frutas, legumbres, hortalizas y tubérculos"
71,2022-01-01,ATLANTICO,2005200000,1020.0,"Papas (patatas), preparadas o conservadas (excepto en vinagre o en ácido acético), sin congelar",8.0,10.0,,102.0,1020.0,"Procesamiento y conservación de frutas, legumbres, hortalizas y tubérculos"
72,2022-01-01,ATLANTICO,2005700000,1020.0,"Aceitunas preparadas o conservadas (excepto en vinagre o en ácido acético), sin congelar",75.0,271.25,,102.0,1020.0,"Procesamiento y conservación de frutas, legumbres, hortalizas y tubérculos"
73,2022-01-01,ATLANTICO,2007100000,1089.0,Preparaciones homogeneizadas (de frutas),26462.0,31829.4,,,1089.0,Elaboración de otros productos alimenticios n.c.p.
74,2022-01-01,ATLANTICO,2007991100,1020.0,"Compotas, jaleas y mermeladas de piñas tropicales (ananás), obtenidas por cocción, incluso con adición de azúcar u otro edulcorante",144.0,337.5,,102.0,1020.0,"Procesamiento y conservación de frutas, legumbres, hortalizas y tubérculos"
75,2022-01-01,ATLANTICO,2007999200,1020.0,"Los demás purés y pastas, obtenidos por cocción, incluso con adición de azúcar u otros edulcorantes",660.0,1135.0,,102.0,1020.0,"Procesamiento y conservación de frutas, legumbres, hortalizas y tubérculos"
76,2022-01-01,ATLANTICO,2008999000,1020.0,"Los demás frutos y partes comestibles de plantas, incluidas las mezclas, preparados o conservados de otro modo, incluso con adición de azúcar u otro edulcorante o alcohol, excepto las mezclas de la subpartida 2008.19",3310.33,15051.36,,102.0,1020.0,"Procesamiento y conservación de frutas, legumbres, hortalizas y tubérculos"
77,2022-01-01,ATLANTICO,2009894000,1020.0,"Jugo de mango sin fermentar y sin adición de alcohol, incluso con adición de azúcar u otro edulcorante",23520.0,17510.54,,102.0,1020.0,"Procesamiento y conservación de frutas, legumbres, hortalizas y tubérculos"
78,2022-01-01,ATLANTICO,2101110010,1063.0,"Café soluble liofilizado, con granulometría de 2.0 - 3.00 mm",552.0,8294.18,,,1063.0,Otros derivados del café
79,2022-01-01,ATLANTICO,2103100000,1089.0,Salsa de soja (soya),342.0,928.5,,,1089.0,Elaboración de otros productos alimenticios n.c.p.
80,2022-01-01,ATLANTICO,2103200000,1089.0,"""Kétchup"" y demás salsas de tomate preparada",2788.3199999999997,3550.79,,,1089.0,Elaboración de otros productos alimenticios n.c.p.
81,2022-01-01,ATLANTICO,2103302000,1089.0,Mostaza preparada,120.0,183.75,,,1089.0,Elaboración de otros productos alimenticios n.c.p.
82,2022-01-01,ATLANTICO,2103909000,1089.0,Las demás salsas preparadas y preparaciones para salsas,3693.42,9009.849999999999,,,1089.0,Elaboración de otros productos alimenticios n.c.p.
83,2022-01-01,ATLANTICO,2106903000,1089.0,Hidrolizados de proteínas,264.36,6149.0,,,1089.0,Elaboración de otros productos alimenticios n.c.p.
84,2022-01-01,ATLANTICO,2106905000,1089.0,Mejoradores de panificación,18000.0,61734.600000000006,,,1089.0,Elaboración de otros productos alimenticios n.c.p.
85,2022-01-01,ATLANTICO,2106907200,1089.0,"Complementos alimenticios, que contengan exclusivamente mezclas o extractos de plantas, partes de plantas, semillas o frutos, con vitaminas, minerales u otras sustancias",397.68,33411.62,,,1089.0,Elaboración de otros productos alimenticios n.c.p.
86,2022-01-01,ATLANTICO,2106907300,1089.0,"Complementos alimenticios, que contengan exclusivamente mezclas de vitaminas y minerales",6325.1,126358.34,,,1089.0,Elaboración de otros productos alimenticios n.c.p.
87,2022-01-01,ATLANTICO,2106907400,1089.0,"Complementos alimenticios, que contengan exclusivamente mezclas vitaminas",349.40999999999997,9179.66,,,1089.0,Elaboración de otros productos alimenticios n.c.p.
88,2022-01-01,ATLANTICO,2106907900,1089.0,Los demás complementos alimenticios,37.51,589.8,,,1089.0,Elaboración de otros productos alimenticios n.c.p.
89,2022-01-01,ATLANTICO,2202100000,1104.0,"Agua, incluidas el agua mineral y la gaseada, con adición de azúcar u otro edulcorante o aromatizada",83607.38,72423.12000000001,,,1104.0,"Elaboración de bebidas no alcohólicas, producción de aguas minerales y de otras aguas embotelladas"
90,2022-01-01,ATLANTICO,2202990000,1104.0,Las demás bebidas no alcohólicas excepto los jugos de la partida 20.09,139193.59,128219.37,,,1104.0,"Elaboración de bebidas no alcohólicas, producción de aguas minerales y de otras aguas embotelladas"
91,2022-01-01,ATLANTICO,2203000000,1103.0,Cerveza de malta,13822.56,10291.6,,,1103.0,"Producción de malta, elaboración de cervezas y otras bebidas malteadas"
92,2022-01-01,ATLANTICO,2208400000,1101.0,"Ron y demás aguardientes procedentes de la destilación, previa fermentación, de productos de la caña de azúcar",18.0,702.0,,,1101.0,"Destilación, rectificación y mezcla de bebidas alcohólicas"
93,2022-01-01,ATLANTICO,2209000000,1089.0,Vinagre y sucedáneos del vinagre obtenidos a partir del ácido acético,13104.0,8320.86,,,1089.0,Elaboración de otros productos alimenticios n.c.p.
94,2022-01-01,ATLANTICO,2309109000,1090.0,"Los demás alimentos para perros o gatos, acondicionados para la venta al por menor",3383.5,99020.15,,109.0,1090.0,Elaboración de alimentos preparados para animales
95,2022-01-01,ATLANTICO,2309902000,1090.0,Premezclas para la alimentación de los animales,63000.0,132300.0,,109.0,1090.0,Elaboración de alimentos preparados para animales
96,2022-01-01,ATLANTICO,2309909000,1090.0,Las demás preparaciones del tipo de las utilizadas para la alimentación de los animales,126000.0,67640.95,,109.0,1090.0,Elaboración de alimentos preparados para animales
97,2022-01-01,ATLANTICO,2401300000,1200.0,Desperdicios de tabaco,15286.0,143225.0,,120.0,1200.0,Elaboración de productos de tabaco
98,2022-01-01,ATLANTICO,2501002000,892.0,"Cloruro de sodio, con pureza superior o igual al 99.5% incluso en disolución acuosa",40250.0,5265.0,,,892.0,Extracción de halita (sal)
99,2022-01-01,ATLANTICO,2503000000,2011.0,"Azufre de cualquier clase, excepto sublimado, el precipitado y el coloidal",25000.0,9300.0,,,2011.0,Fabricación de sustancias y productos químicos básicos
100,2022-01-01,ATLANTICO,2508400000,812.0,Las demás arcillas (con exclusión de las arcillas dilatadas de la partida 68.06),6500.0,5939.33,,,812.0,"Extracción de arcillas de uso industrial, caliza, caolín y bentonitas"
101,2022-01-01,ATLANTICO,2515200000,811.0,"""Ecaussines"" y demás piedras calizas de talla o de construcción; alabastro",105.8,6.37,,,811.0,"Extracción de piedra, arena, arcillas comunes, yeso y anhidrita"
102,2022-01-01,ATLANTICO,2517100000,811.0,"Cantos, grava, piedras machacadas, de los tipos generalmente utilizados para hacer hormigón o para firmes de carreteras, vías férreas u otros balastos, guijarros y pedernal, incluso tratados térmicamente",979.7,9.63,,,811.0,"Extracción de piedra, arena, arcillas comunes, yeso y anhidrita"
103,2022-01-01,ATLANTICO,2517410000,811.0,"Gránulos, tasquiles (fragmentos) y polvo de mármol, incluso tratados térmicamente",18720.0,2223.0,,,811.0,"Extracción de piedra, arena, arcillas comunes, yeso y anhidrita"
104,2022-01-01,ATLANTICO,2520100000,811.0,Yeso natural; anhidrita,197.2,7.15,,,811.0,"Extracción de piedra, arena, arcillas comunes, yeso y anhidrita"
105,2022-01-01,ATLANTICO,2520200000,2394.0,"Yesos fraguable ( consistente en yeso natural calcinado o en sulfato de calcio), incluso coloreado o con pequeñas cantidades de aceleradores o retardadores",52000.0,9850.0,,,2394.0,"Fabricación de cemento, cal y yeso"
106,2022-01-01,ATLANTICO,2522100000,2394.0,Cal viva,48000.0,11856.0,,,2394.0,"Fabricación de cemento, cal y yeso"
107,2022-01-01,ATLANTICO,2523100000,2394.0,"Cementos sin pulverizar (""clinker"")",395.8,24.8,,,2394.0,"Fabricación de cemento, cal y yeso"
108,2022-01-01,ATLANTICO,2523210000,2394.0,"Cemento blanco, incluso coloreado artificialmente",224000.0,47518.5,,,2394.0,"Fabricación de cemento, cal y yeso"
109,2022-01-01,ATLANTICO,2523290000,2394.0,Los demás cementos portland (gris),100.9,7.07,,,2394.0,"Fabricación de cemento, cal y yeso"
110,2022-01-01,ATLANTICO,2523900000,2394.0,Los demás cementos hidráulicos,4999700.0,521145.2,,,2394.0,"Fabricación de cemento, cal y yeso"
111,2022-01-01,ATLANTICO,2530900000,891.0,Las demás materias minerales no expresadas ni comprendidas en otras partidas,343660.0,133819.19,,,891.0,Extracción de minerales para la fabricación de abonos y productos químicos
112,2022-01-01,ATLANTICO,2621900000,239.0,"Las demás escorias y cenizas, incluidas las cenizas de algas",1182.4,33.41,,,,
113,2022-01-01,ATLANTICO,2804210000,2011.0,Argón,22284.0,38437.12,,,2011.0,Fabricación de sustancias y productos químicos básicos
114,2022-01-01,ATLANTICO,2807001000,2011.0,Ácido sulfúrico,249330.0,50380.74,,,2011.0,Fabricación de sustancias y productos químicos básicos
115,2022-01-01,ATLANTICO,2809201010,2011.0,Ácido fosfórico de concentración superior o igual al 75%,10110.0,15940.13,,,2011.0,Fabricación de sustancias y productos químicos básicos
116,2022-01-01,ATLANTICO,2814100000,2012.0,Amoniaco anhidro,19460.0,31330.6,,,2012.0,Fabricación de abonos y compuestos inorgánicos nitrogenados
117,2022-01-01,ATLANTICO,2820100000,2011.0,Dióxido de manganeso,380000.0,784700.0,,,2011.0,Fabricación de sustancias y productos químicos básicos
118,2022-01-01,ATLANTICO,2827491000,2011.0,Oxicloruros e hidroxicloruros de aluminio,148500.0,90717.5,,,2011.0,Fabricación de sustancias y productos químicos básicos
119,2022-01-01,ATLANTICO,2832209000,2011.0,Los demás sulfitos,12950.0,9546.0,,,2011.0,Fabricación de sustancias y productos químicos básicos
120,2022-01-01,ATLANTICO,2833210000,2011.0,Sulfatos de magnesio,79920.0,28336.08,,,2011.0,Fabricación de sustancias y productos químicos básicos
121,2022-01-01,ATLANTICO,2833220000,2011.0,Sulfatos de aluminio,467000.0,141090.0,,,2011.0,Fabricación de sustancias y productos químicos básicos
122,2022-01-01,ATLANTICO,2833291000,2011.0,Sulfatos de hierro,24970.0,8637.94,,,2011.0,Fabricación de sustancias y productos químicos básicos
123,2022-01-01,ATLANTICO,2833299000,2011.0,Los demás sulfatos,597000.0,445761.0,,,2011.0,Fabricación de sustancias y productos químicos básicos
124,2022-01-01,ATLANTICO,2902200000,2011.0,Benceno,1387371.0,1247801.48,,,2011.0,Fabricación de sustancias y productos químicos básicos
125,2022-01-01,ATLANTICO,2909430000,2011.0,Éteres monobutílicos del etilenglicol o del dietilenglicol,18240.0,56118.46,,,2011.0,Fabricación de sustancias y productos químicos básicos
126,2022-01-01,ATLANTICO,2915701000,2011.0,"Ácido palmítico, sus sales y sus ésteres",96000.0,110800.0,,,2011.0,Fabricación de sustancias y productos químicos básicos
127,2022-01-01,ATLANTICO,2931499000,2011.0,Los demás derivados órgano-fosforados,1100.0,2337.0,,,2011.0,Fabricación de sustancias y productos químicos básicos
128,2022-01-01,ATLANTICO,3003420000,2100.0,Los demás medicamentos que contengan seudoefedrina (DCI) o sus sales,226.44,47582.78,,210.0,2100.0,"Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico"
129,2022-01-01,ATLANTICO,3003901000,2100.0,"Los demás medicamentos (con exclusión de los productos de las partidas 30.02-30.05 o 30.06), para uso humano, constituidos por productos mezclados entre si preparados para usos terapéuticos o profilácticos, sin dosificar ni acondicionar para la venta al por menor",382.59000000000003,62629.13,,210.0,2100.0,"Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico"
130,2022-01-01,ATLANTICO,3004201900,2100.0,"Los demás medicamentos que contengan otros antibióticos, para uso humano",2980.63,271022.55,,210.0,2100.0,"Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico"
131,2022-01-01,ATLANTICO,3004321900,2100.0,"Los demás medicamentos que contengan hormonas corticosteroides, sus derivados y análogos estructurales para uso humano, para uso humano",2492.2200000000003,274368.12,,210.0,2100.0,"Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico"
132,2022-01-01,ATLANTICO,3004391900,2100.0,"Los demás medicamentos que contengan hormonas u otros productos de la partida 29.37, sin antibióticos, para uso humano",195.22,56560.35,,210.0,2100.0,"Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico"
133,2022-01-01,ATLANTICO,3004421000,2100.0,Los demás medicamentos que contengan seudoefedrina o sus sales para uso humano,3280.69,242607.57,,210.0,2100.0,"Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico"
134,2022-01-01,ATLANTICO,3004491000,2100.0,Los demás medicamentos que contengan alcaloides o sus derivados para uso humano,62.15,1950.0,,210.0,2100.0,"Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico"
135,2022-01-01,ATLANTICO,3004501000,2100.0,"Los demás medicamentos para uso humano, que contengan vitaminas u otros productos de la partida 29.36, acondicionados para la venta al por menor",7893.08,459443.42,,210.0,2100.0,"Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico"
136,2022-01-01,ATLANTICO,3004902900,2100.0,Los demás medicamentos para uso humano,27019.8,1569113.21,,210.0,2100.0,"Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico"
137,2022-01-01,ATLANTICO,3006600000,2100.0,Preparaciones químicas anticonceptivas a base de hormonas o de espermicidas,328.5,15322.83,,210.0,2100.0,"Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico"
138,2022-01-01,ATLANTICO,3104202000,2012.0,"Cloruro de potasio, con un contenido de potasio, superior o igual a 58% pero inferior o igual a 63,1% en peso, expresado en óxido de potasio",240000.0,249816.0,,,2012.0,Fabricación de abonos y compuestos inorgánicos nitrogenados
139,2022-01-01,ATLANTICO,3105200000,2012.0,"Abonos minerales o químicos con los tres elementos fertilizantes: nitrógeno, fósforo y potasio",12450.0,7843.5,,,2012.0,Fabricación de abonos y compuestos inorgánicos nitrogenados
140,2022-01-01,ATLANTICO,3208100000,2022.0,Pinturas y barnices a base de poliésteres,1000.0,1259.18,,,2022.0,"Fabricación de pinturas, barnices y revestimientos similares, tintas para impresión y masillas"
141,2022-01-01,ATLANTICO,3208200000,2022.0,Pinturas y barnices a base de polímeros acrílicos o vinílicos,150.0,526.0,,,2022.0,"Fabricación de pinturas, barnices y revestimientos similares, tintas para impresión y masillas"
